OneGoal ID,Selectivity,College/University,Recommended Institution,Grad Rate Quartile,Website,Opportunity Programs,City,State,Region,Sector,Locale,Size,% Pell Grant,% African American,% Hispanic,% In State,HBCU,Hispanic Serving Institution,On Campus Housing?,6 Year Grad Rate (Overall),6 Year Grad Rate (Minority),Grad Rate Quartile,Net Price: 0-30,Median Debt of Graduates,Median Salary After Attending,Percent Earning Over HS Grad,CUNY/SUNY
13261,Two-Year College,Phillips Beth Israel School of Nursing,,,www.pson.edu,,New York,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",0,32,14,100,,,No,,,,,"$15,250 ","$20,400 ",38,
13269,Two-Year College,Institute of Design and Construction,,,www.idc.edu,,Brooklyn,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",70,32,18,100,,,No,,,,"$8,211 ",,"$22,300 ",44,
13270,Two-Year College,"Katharine Gibbs School (Melville, N.Y.)",,,www.sbmelville.com,,Melville,NY,New York,,,,,,,,,,,,,,,,,,
13296,Two-Year College,Bryant & Stratton College at Albany,,,www.bryantstratton.edu/,,Albany,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",89,27,14,97,,,No,,,,"$13,909 ","$24,261 ","$36,200 ",67,
13298,Two-Year College,Bryant & Stratton College at Liverpool,,,www.bryantstratton.edu/,,Liverpool,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",87,13,1,100,,,No,,,,"$12,455 ","$24,261 ","$44,900 ",75,
13305,Two-Year College,Helene Fuld College of Nursing,,,www.helenefuld.edu,,New York,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",100,72,10,86,,,No,,,,,"$13,750 ","$21,300 ",46,
13319,Two-Year College,Business Informatics Center,,,www.thecollegeforbusiness.com,,Valley Stream,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",75,29,17,,,,No,,,,"$20,606 ",,,,
13325,Two-Year College,St. Elizabeth College of Nursing,,,www.secon.edu,,Utica,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",51,2,2,100,,,No,,,,"$14,007 ","$18,386 ",,,
13326,Two-Year College,Sisters of Charity Medical Center School of Nursing,,,www.stpaulsschoolofnursing.com/,,Staten Island,NY,New York,,,,,,,,,,,,,,,,,,
13328,Two-Year College,USC The Business College at Utica,,,www.uscny.edu,,Utica,NY,New York,,,,,,,,,,,,,,,,,,
13963,Two-Year College,St. John's University - Staten Island Campus,,,,,Staten Island,NY,New York,,,,,,,,,,,,,,,,,,
14210,Two-Year College,Cochran School of Nursing,,,www.cochranschoolofnursing.us,,Yonkers,NY,New York,Private not-for-profit,Suburb,"Very Small (<1,000)",40,14,33,,,,No,,,,,"$20,000 ","$33,800 ",65,
14213,Two-Year College,Dorothea Hopfer School of Nursing-Mt Vernon Hospital,,,www.montefiorehs.org,,Mount Vernon,NY,New York,Private not-for-profit,Suburb,"Very Small (<1,000)",41,47,20,,,,No,,,,,,,,
14214,Two-Year College,Olean Business Institute,,,www.obi.edu,,Olean,NY,New York,Private for-profit,Town,"Very Small (<1,000)",55,8,,,,,,,,,"$9,728 ",,,,
14215,Two-Year College,Simmons Institute of Funeral Service Inc,,,www.simmonsinstitute.com,,Syracuse,NY,New York,Private for-profit,City,"Very Small (<1,000)",56,36,0,,,,No,,,,"$6,077 ",,,,
10406,Less Competitive,SUNY College at Brockport,1,Q1 (TOP 1 - 25%),https://www.brockport.edu,EOP,Brockport,NY,New York,Public,Town,"Medium (5,000-15,000)",41,11,7,96,,,Yes,68,66,Q1 (TOP 1 - 25%),"$8,610 ","$21,500 ","$43,900 ",82,SUNY
10472,Less Competitive,SUNY College of Technology at Alfred,1,Q1 (TOP 1 - 25%),www.alfredstate.edu,"ASOP
EOP",Alfred,NY,New York,Public,Town,"Small (1,000-5,000)",60,12,8,96,,,Yes,54,57,Q1 (TOP 1 - 25%),"$10,613 ","$15,500 ","$14,100 ",31,SUNY
14047,Noncompetitive,Swedish Institute a College of Health Sciences,,Q1 (TOP 1 - 25%),www.swedishinstitute.edu,,New York,NY,New York,Private for-profit,City,"Very Small (<1,000)",84,36,24,85,,,No,93,,Q1 (TOP 1 - 25%),"$21,590 ","$20,000 ","$49,400 ",76,
12088,Less Competitive,Saint Josephs College-Main Campus,,Q1 (TOP 1 - 25%),www.sjcny.edu,,Brooklyn,NY,New York,Private not-for-profit,City,"Small (1,000-5,000)",35,10,13,97,,,No,68,53,Q1 (TOP 1 - 25%),"$9,342 ","$22,350 ","$19,000 ",39,
11959,Less Competitive,LIM College,,Q1 (TOP 1 - 25%),www.limcollege.edu,,New York,NY,New York,Private for-profit,City,"Small (1,000-5,000)",31,15,10,34,,,Yes,48,52,Q1 (TOP 1 - 25%),"$30,190 ","$26,184 ",,,
10708,Noncompetitive,Briarcliffe College,,Q1 (TOP 1 - 25%),www.briarcliffe.edu,,Bethpage,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",73,18,8,96,,,No,30,36,Q1 (TOP 1 - 25%),"$12,829 ","$29,001 ",,,
11249,Less Competitive,SUNY College at Buffalo,,Q2 (TOP 25 - 50%),suny.buffalostate.edu/,"Bottom Line
EOP",Buffalo,NY,New York,Public,City,"Medium (5,000-15,000)",65,31,13,97,,,Yes,45,45,Q2 (TOP 25 - 50%),"$8,229 ","$21,665 ",,,SUNY
10639,Less Competitive,St. Francis College,,Q2 (TOP 25 - 50%),www.sfc.edu,Bottom Line,Brooklyn Heights,NY,New York,Private not-for-profit,City,"Small (1,000-5,000)",47,19,21,88,,,Yes,55,39,Q2 (TOP 25 - 50%),"$8,469 ","$24,000 ","$17,600 ",39,
